"","Mean","SD","Naive SE","Time-series SE"
"beta_iter[84]",0.467266572250203,0.0497775510523588,0.000642625420802584,0.00199376003235854
"beta_iter[85]",0.632930971839275,0.0540444942832962,0.000697711421044693,0.00282086239436769
"beta_iter[86]",0.576912896745173,0.0545469487594162,0.000704198080438828,0.00259104548982837
"beta_iter[87]",0.521887554645044,0.0389581648869795,0.000502947746020247,0.00110758584466703
"beta_iter[88]",0.563991530321188,0.0401195015342127,0.000517940537667163,0.00124955306997463
"beta_iter[89]",0.449574105354359,0.0358229627698837,0.000462472460731893,0.000865024207277872
"beta_iter[90]",0.543390038079548,0.0393997372045572,0.000508648420127329,0.00111884695587229
"beta_iter[91]",0.510565034910093,0.0560045577695532,0.00072301573184397,0.00260145035173465
"beta_iter[92]",0.533630499347322,0.0529025003021328,0.000682968342142978,0.00230466507676376
"beta_iter[93]",0.540080450203109,0.0687647735715803,0.000887749409494847,0.00430736410159174
"beta_iter[94]",0.633744544664288,0.0429031237239454,0.00055387694561039,0.0016186774882303
"beta_iter[95]",0.527052494299571,0.0613064368190664,0.000791462696051871,0.00311707930778092
"beta_iter[96]",0.418281666697696,0.0425607237211972,0.00054945658058244,0.00141776836352157
"beta_iter[97]",0.557596602416618,0.0531456032381577,0.000686106787551773,0.00243988850340319
"beta_iter[98]",0.481834290214182,0.0431114175529817,0.000556566007380307,0.00136483515486881
"beta_iter[99]",0.442069689985856,0.0455446730807246,0.000587979201167026,0.0014951023265224
"beta_iter[100]",0.5935007398578,0.0442879051204349,0.000571754396566195,0.00170216677574484
"beta_iter[101]",0.537640290267006,0.0644636111774943,0.000832221641756086,0.00356740500451098
"beta_iter[102]",0.548752464859643,0.0598744476111798,0.000772975794871559,0.0029293012839432
"beta_iter[103]",0.605107575516392,0.0404425524464577,0.000522111107010836,0.00134749017429348
"beta_iter[104]",0.422431583956796,0.0336960725674175,0.000435014426287349,0.000768818666126651
"beta_iter[105]",0.563780574737574,0.0560415922657182,0.000723493845133577,0.00269108355811651
"beta_iter[106]",0.423374545981616,0.03554525419398,0.000458887258433313,0.000868216507459009
"beta_iter[107]",0.526522458059527,0.0419240507562516,0.00054123716794839,0.00131547397661531
"beta_iter[108]",0.582944271239808,0.047452912067684,0.000612614460557284,0.00194111198451316
"beta_iter[109]",0.650519717121838,0.0406017606346515,0.000524166475882351,0.00155842605791515
"beta_iter[110]",0.487644844363591,0.0482395098599308,0.000622769394389068,0.00180020747225437
"beta_iter[111]",0.411861495605214,0.0400700372243701,0.000517301956172989,0.0011893521395178
"beta_iter[112]",0.618873906927875,0.070240861205051,0.00090680561890143,0.00504847405116477
"beta_iter[113]",0.469754648703252,0.0411045079248225,0.000530656915489628,0.00124873260342156
"beta_iter[114]",0.469471123639964,0.0377775317145521,0.000487705837304276,0.00109011301045653
"beta_iter[115]",0.482600972626111,0.0420853681360755,0.000543319766366763,0.00128047187584995
"beta_iter[116]",0.422823249807445,0.0410408416243185,0.000529834987084406,0.00124330869671771
"beta_iter[117]",0.426062481368778,0.0341676018204698,0.000441101842768419,0.000789948944619998
"beta_iter[118]",0.517421661849376,0.0464575072455536,0.000599763839561131,0.00165821400958457
